排名,球员,总数
1,威尔特·张伯伦,23924
2,比尔·拉塞尔,21620
3,卡里姆·阿布杜尔-贾巴尔,17440
4,埃尔文·海耶斯,16279
5,摩西·马龙,16212
6,蒂姆·邓肯,15091
7,卡尔·马龙,14968
8,罗伯特·帕里什,14715
9,凯文·加内特,14662
10,德怀特·霍华德,14627
11,内特·瑟蒙德,14464
12,沃尔特·贝拉米,14241
13,韦斯·昂塞尔德,13769
14,哈基姆·奥拉朱旺,13748
15,沙奎尔·奥尼尔,13099
16,巴克·威廉姆斯,13017
17,杰里·卢卡斯,12942
18,鲍勃·佩蒂特,12849
19,查尔斯·巴克利,12546
20,迪肯贝·穆托姆博,12359
21,保罗·西拉斯,12357
22,查尔斯·奥克利,12205
23,丹尼斯·罗德曼,11954
24,凯文·威利斯,11901
25,帕特里克·尤因,11607
26,德克·诺维茨基,11489
27,埃尔金·贝勒,11463
28,勒布朗·詹姆斯,11405
29,保罗·加索尔,11305
30,多尔夫·谢伊斯,11256
31,比尔·布里奇斯,11054
32,安德烈·德拉蒙德,10864
33,杰克·希克马,10816
34,德安德烈·乔丹,10570
35,大卫·罗宾逊,10497
36,本·华莱士,10482
37,泰森·钱德勒,10467
38,戴夫·考恩斯,10444
39,比尔·兰比尔,10400
40,奥蒂斯·索普,10370
41,扎克·兰多夫,10208
42,肖恩·马里昂,10101
43,约翰尼·科尔,10092
44,尼古拉·武切维奇,9728
45,鲍勃·兰尼尔,9698
46,萨姆·莱西,9687
47,戴夫·德布斯切尔,9618
48,马库斯·坎比,9513
49,埃·斯·格林,9473
50,尼古拉·武切维奇,9469
51,霍勒斯·格兰特,9443
52,巴里·霍威尔,9383
53,弗拉德·迪瓦茨,9326
54,鲁迪·戈贝尔,9231
55,阿蒂斯·吉尔摩尔,9161
56,约翰尼·格林,9083
57,埃尔顿·布兰德,9040
58,拉里·伯德,8974
59,肖恩·坎普,8834
60,拉马库斯·阿尔德里奇,8736
61,杰森·基德,8725
62,莱罗伊·康布斯,8709
63,艾尔·霍福德,8703
64,迈克尔·凯奇,8670
65,特里·卡明斯,8646
66,戴尔·戴维斯,8605
67,拉塞尔·威斯布鲁克,8429
68,威利斯·里德,8414
69,P.J.布朗,8409
70,约纳斯·瓦兰丘纳斯,8293
71,卡洛斯·布泽尔,8192
72,安托万·贾米森,8157
73,安东尼·戴维斯,8144
74,拉里·史密斯,8125
75,克里斯·韦伯,8124
76,拉玛尔·奥多姆,8059
77,鲍勃·麦卡杜,8048
78,拉里·福斯特,8041
79,哈皮·海尔斯顿,8019
80,扬尼斯·阿德托昆博,8010
81,约翰·哈夫利切克,8007
82,卡梅隆·安东尼,7808
83,奥斯卡·罗伯特森,7804
84,艾尔·杰弗森,7690
85,保罗·米尔萨普,7673
86,萨姆·帕金斯,7666
87,卡尔迪维尔·琼斯,7663
88,安东尼奥·麦克戴斯,7638
89,克莱德·李,7626
90,克里斯·波什,7592
91,凯文·杜兰特,7582
92,韦恩·恩布里,7544
93,尼古拉·约基奇,7578
94,保罗·皮尔斯,7527
95,莫里斯·卢卡斯,7520
96,斯科蒂·皮蓬,7494
97,詹姆斯·唐纳森,7492
98,朱万·霍华德,7419
99,拉希德·华莱士,7404
100,格斯·约翰逊,7379
