Year,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022
0-4,61874,907102,60556,59996,60409,60158,64830,63981,63490,63990,1243566,68447,68313,67393,62722,72978,62248
5-9,76221,1060664,70588,68202,64402,63000,61279,61309,62446,63132,1174724,63831,63314,63322,60701,96094,90793
10-14,103771,1353263,89136,84278,79278,73359,62481,59845,57562,58287,1103520,60420,60727,62248,59844,92304,91846
15-19,109259,1443484,105023,98916,92767,83516,80388,73914,68715,64719,1165548,61562,59251,58258,55822,79414,79560
20-24,79604,1036723,76160,78601,80885,87637,108567,101742,97406,90785,1554837,79102,73185,68050,61519,77256,73629
25-29,88490,1110290,74110,76755,76417,75481,89259,89936,93136,98845,1992252,106663,100701,92977,81741,91729,85040
30-34,117954,1445908,93398,86753,82027,78735,82148,83586,82677,82546,1573049,87573,88959,93201,93971,128056,116755
35-39,122574,1651487,113952,115391,109297,106040,96895,89054,84334,81792,1507593,80485,82553,81886,77703,109171,109832
40-44,100595,1475539,115781,115847,113708,112356,107391,107532,103771,101959,1824946,94730,87713,83574,77044,98023,98379
45-49,89609,1147578,76496,76085,84701,92367,100853,99312,98129,99249,1921117,104623,105476,102384,95621,114545,103955
50-54,86438,1236929,90607,92481,91958,84335,62204,61916,69533,77909,1615839,97608,96760,96850,93125,129319,127635
55-59,61775,907435,68277,73224,77554,79114,71667,71403,70719,66409,1193350,59638,59823,69844,74068,121989,117482
60-64,47599,668310,48886,50998,52706,55690,52708,55427,58256,61608,1211435,67696,68044,68014,60712,70755,71964
65-69,40062,564095,39996,39849,39183,40114,36054,37579,39216,41709,850443,48454,51552,54799,55086,81345,79964
70-74,32538,454955,32692,33236,33302,32493,28826,28225,27905,29133,563097,31677,32590,34810,35665,56208,58782
75-79,19159,290171,20632,20985,21991,22528,21174,21250,21253,21330,411240,22449,22553,22799,22610,34886,35928
80-84,10469,156110,10825,11302,11686,11794,11964,12147,12769,13289,253260,14331,14708,14845,14322,22543,22434
85-89,3727,56582,4142,4436,4777,4788,4796,4780,5256,5604,111758,6416,6606,6902,7036,12317,12542
90-94,1115,15825,1130,1123,1205,1174,1437,1439,1558,1757,33773,1902,1964,2031,2113,4249,4297
95-120,234,3319,279,280,269,308,290,283,304,347,6894,413,455,458,450,871,929
0-120,1253065,16985766,1192666,1188739,1178521,1164986,1145209,1124661,1118433,1124402,21312241,1158019,1145246,1144648,1091876,1494054,1443996
