1,「玄幻」,完美世界,155871,辰东
2,「仙侠」,我欲封天,125628,耳根
3,「仙侠」,魔天记,105201,忘语
4,「科幻」,星战风暴,94532,骷髅精灵
5,「玄幻」,武极天下,72020,蚕茧里的牛
6,「玄幻」,斗罗大陆II绝世唐门,64042,唐家三少
7,「仙侠」,莽荒纪,63180,我吃西红柿
8,「历史」,大宋的智慧,48903,孑与2
9,「都市」,重生之神级败家子,43161,辰机唐红豆
10,「历史」,唐砖,42120,孑与2
11,「仙侠」,最强弃少,41080,鹅是老五
12,「仙侠」,造化之门,39434,鹅是老五
13,「玄幻」,傲世九重天,38124,风凌天下
14,「玄幻」,儒道至圣,32514,永恒之火
15,「都市」,宝鉴,31394,打眼
16,「仙侠」,三界血歌,31215,血红
17,「玄幻」,天择,30045,卷土
18,「玄幻」,裁决,28901,七十二编
19,「历史」,夜天子,28227,月关
20,「游戏」,全职高手,25466,蝴蝶蓝
21,「仙侠」,飞天,24400,跃千愁
22,「玄幻」,苍穹龙骑,23472,华表
23,「历史」,医统江山,22234,石章鱼
24,「历史」,醉枕江山,21721,月关
25,「玄幻」,天醒之路,21530,蝴蝶蓝
26,「玄幻」,大主宰,20143,天蚕土豆
27,「仙侠」,帝尊,19285,宅猪
28,「游戏」,神级英雄,18891,大烟缸
29,「奇幻」,神秘之旅,18758,滚开
30,「游戏」,惊悚乐园,17249,三天两觉
31,「玄幻」,奥术神座,16992,爱潜水的乌贼
32,「都市」,回到过去变成猫,15748,陈词懒调
33,「科幻」,超神建模师,15710,零下九十度
34,「玄幻」,天骄无双,15696,跳舞
35,「历史」,赘婿,14638,愤怒的香蕉
36,「玄幻」,帝霸,14307,厌笔萧生
37,「玄幻」,黑铁之堡,14146,醉虎
38,「玄幻」,一世之尊,14063,爱潜水的乌贼
39,「仙侠」,无量真仙,14017,EK巧克力
40,「奇幻」,法师奥义,13490,月中阴
41,「玄幻」,将夜,12894,猫腻
42,「科幻」,重生之超级战舰,12728,彩虹之门
43,「仙侠」,狂仙,12673,陈风笑
44,「都市」,材料帝国,11495,齐橙
45,「仙侠」,锻仙,11251,新兵扛老枪
46,「历史」,公子风流,11103,上山打老虎额
47,「都市」,极品修真强少,10343,鱼人二代
48,「游戏」,暗黑破坏神之毁灭,10010,第七重奏01
49,「历史」,明扬天下,9661,何昊远
50,「都市」,宅师,9394,烛
