名次,姓名,总数
1,约翰·斯托克顿,15806
2,克里斯·保罗,12149
3,杰森·基德,12091
4,勒布朗·詹姆斯,11261
5,史蒂夫·纳什,10335
6,马克·杰克逊,10334
7,埃尔文·约翰逊,10141
8,奥斯卡·罗伯特森,9887
9,拉塞尔·威斯布鲁克,9651
10,伊塞亚·托马斯,9061
11,加里·佩顿,8966
12,安德烈·米勒,8524
13,罗德·斯特里克兰,7987
14,詹姆斯·哈登,7872
15,拉简·朗多,7584
16,莫里斯·奇克斯,7392
17,兰尼·威尔肯斯,7211
18,特里·波特,7160
19,蒂姆·哈达威,7095
20,凯尔·洛瑞,7061
21,托尼·帕克,7036
22,鲍勃·库西,6955
23,盖伊·罗杰斯,6917
24,德隆·威廉姆斯,6819
25,蒂尼·博格斯,6726
26,凯文·约翰逊,6711
27,德里克·哈珀,6577
28,奈特·阿奇博尔德,6476
29,斯蒂芬·马布里,6471
30,约翰·卢卡斯二世,6454
31,雷吉·托伊斯,6453
32,迈克·康利,6423
33,诺姆·尼克松,6386
34,科比·布莱恩特,6306
35,朱·霍勒迪,6297
36,斯蒂芬·库里,6276
37,杰里·韦斯特,6238
38,斯科蒂·皮蓬,6135
39,克莱德·德雷克斯勒,6125
40,约翰·哈夫利切克,6114
41,拜伦·戴维斯,6025
42,穆奇·布雷洛克,5872
43,萨姆·卡塞尔,5839
44,埃弗里·约翰逊,5846
45,达米安·利拉德,5825
46,尼克·范·埃克塞尔,5777
47,约翰·沃尔,5735
48,德怀恩·韦德,5701
49,拉里·伯德,5695
50,卡里姆·阿布杜尔-贾巴尔,5660
51,昌西·比卢普斯,5636
52,迈克尔·乔丹,5633
53,阿伦·艾弗森,5624
54,迈克·毕比,5517
55,丹尼斯·约翰逊,5499
56,凯文·加内特,5445
57,杰森·特里,5415
58,戴夫·宾,5397
59,达蒙·斯塔德迈尔,5371
60,凯文·波特,5314
61,杰夫·霍纳塞克,5281
62,卡尔·马龙,5248
63,里基·格林,5221
64,诺姆·范里尔,5217
65,肯尼·安德森,5196
66,斯里皮·弗洛伊德,5175
67,里基·卢比奥,5160
68,何塞·卡尔德隆,5148
69,安德烈·伊戈达拉,5147
70,雷蒙德·费尔顿,5096
71,沃尔特·弗雷泽,5040
72,乔·约翰逊,5001
73,尼古拉·约基奇,4915
74,内特·麦克米兰,4893
75,道格·里弗斯,4889
76,马克·普莱斯,4863
77,盖尔·古德里奇,4805
78,德雷蒙德·格林,4720
79,文斯·卡特,4714
80,凯文·杜兰特,4710
81,布拉德·戴维斯,4709
82,保罗·皮尔斯,4708
83,拉斐特-利弗,4696
84,威尔特·张伯伦,4643
85,德玛尔·德罗赞,4628
86,乔·杜马斯,4612
87,贾森·威廉姆斯,4611
88,古斯·威廉姆斯,4597
89,杰夫·蒂格,4585
90,贾马尔·克劳福德,4541
91,哈尔·格瑞尔,4540
92,沙文·杜格拉斯,4536
93,贾马尔·尼尔森,4508
94,兰迪·史密斯,4487
95,布莱文·奈特,4481
96,特雷尔·布兰登,4407
97,戈兰·德拉季奇,4405
99,卡尔文·墨菲,4402
99,雷·阿伦,4361
100,阿历克斯·英格利什,4351
