排名,姓名,得分
1,  勒布朗·詹姆斯  ,41154
2,  卡里姆·阿布杜尔·贾巴尔  ,38387
3,  卡尔·马龙  ,36928
4,  科比·布莱恩特  ,33643
5,  迈克尔·乔丹  ,32292
6,  德克·诺维茨基  ,31560
7,  威尔特·张伯伦  ,31419
8,  凯文·杜兰特  ,29534
9,  沙奎尔·奥尼尔  ,28596
10,  卡梅隆·安东尼  ,28289
11,  摩西·马龙  ,27409
12,  埃尔文·海耶斯  ,27313
13,  哈基姆·奥拉朱旺  ,26946
14,  奥斯卡·罗伯特森  ,26710
15,  多米尼克·威尔金斯  ,26668
16,  詹姆斯·哈登  ,26586
17,  蒂姆·邓肯  ,26496
18,  保罗·皮尔斯  ,26397
19,  约翰·哈夫利切克  ,26395
20,  凯文·加内特  ,26071
21,  文斯·卡特  ,25728
22,  阿历克斯·英格利什  ,25613
23,  拉塞尔·威斯布鲁克  ,25602
24,  雷吉·米勒  ,25279
25,  杰里·韦斯特  ,25192
26,  帕特里克·尤因  ,24815
27,  雷·阿伦  ,24505
28,  阿伦·艾弗森  ,24368
29,  斯蒂芬·库里  ,24241
30,  德玛尔·德罗赞  ,24178
31,  查尔斯·巴克利  ,23757
32,  罗伯特·帕里什  ,23334
33,  阿德里安·丹特利  ,23177
34,  德怀恩·韦德  ,23165
35,  埃尔金·贝勒  ,23149
36,  克里斯·保罗  ,22599
37,  克莱德·德雷克斯勒  ,22195
38,  加里·佩顿  ,21813
39,  拉里·伯德  ,21791
40,  达米安·利拉德  ,21755
41,  哈尔·格瑞尔  ,21586
42,  沃尔特·贝拉米  ,20941
43,  保罗·加索尔  ,20894
44,  鲍勃·佩蒂特  ,20880
45,  大卫·罗宾逊  ,20790
46,  乔治·格文  ,20708
47,  拉马库斯·阿尔德里奇  ,20558
48,  米奇·里奇蒙德  ,20497
49,  乔·约翰逊  ,20407
50,  汤姆·钱伯斯  ,20049
51,  安托万·贾米森  ,20042
52,  约翰·斯托克顿  ,19711
53,  伯纳德·金  ,19655
54,  克里弗德·罗宾逊  ,19591
55,  沃尔特·戴维斯  ,19521
56,  德怀特·霍华德  ,19485
57,  托尼·帕克  ,19473
58,  特里·卡明斯  ,19460
59,  贾马尔·克劳福德  ,19419
60,  扬尼斯·阿德托昆博  ,19317
61,  鲍勃·兰尼尔  ,19248
62,  埃迪·约翰逊  ,19202
63,  盖尔·古德里奇  ,19181
64,  雷吉·托伊斯  ,19015
65,  戴尔·埃利斯  ,19004
66,  斯科蒂·皮蓬  ,18940
67,  贾森·特里  ,18881
68,  切特·沃克  ,18831
69,  伊塞亚·托马斯  ,18822
70,  鲍勃·麦卡杜  ,18787
71,  扎克·兰多夫  ,18578
72,  安东尼·戴维斯  ,18526
73,  马克·阿奎尔  ,18458
74,  多尔夫·谢伊斯  ,18438
75,  里克·巴里  ,18395
76,  特雷西·麦克格雷迪  ,18381
77,  保罗·乔治  ,18371
78,  朱利叶斯·欧文  ,18364
79,  格伦·莱斯  ,18336
80,  戴夫·宾  ,18327
81,  沃尔德-弗里  ,17955
82,  卡尔文·墨菲  ,17949
83,  卢·哈德森  ,17940
84,  凯里·欧文  ,17928
85,  克里斯·穆林  ,17911
86,  兰尼·威尔肯斯  ,17772
87,  巴里·霍威尔  ,17770
88,  埃尔文·约翰逊  ,17707
89,  肖恩·马里昂  ,17700
90,  鲁迪·盖伊  ,17642
91,  罗兰多·布莱克曼  ,17623
92,  奥蒂斯·索普  ,17599
93,  贾森·基德  ,17529
94,  厄尔·门罗  ,17454
95,  史蒂夫·纳什  ,17387
96,  凯文·麦克海尔  ,17335
97,  迈克尔·芬利  ,17306
98,  杰克·希克马  ,17287
99,  凯文·威利斯  ,17253
100,  杰夫·马龙  ,17231
