Ranking,Legend,tackle
1,约翰·斯托克顿,3265
2,杰森·基德,2684
3,克里斯·保罗,2634
4,迈克尔·乔丹,2514
5,加里·佩顿,2445
6,莫里斯·奇克斯,2310
7,斯科蒂·皮蓬,2307
8,勒布朗·詹姆斯,2284
9,克莱德·德雷克斯勒,2207
10,哈基姆·奥拉朱旺,2162
11,埃尔文·罗伯特森,2112
12,卡尔·马龙,2085
13,穆奇·布雷洛克,2075
14,阿伦·艾弗森,1983
15,德里克·哈珀,1957
16,科比·布莱恩特,1944
17,拉塞尔·维斯布鲁克,1867
18,伊赛亚·托马斯,1861
19,凯文·加内特,1859
20,安德烈·伊戈达拉,1765
21,肖恩·马里昂,1759
22,保罗·皮尔斯,1752
23,埃尔文·约翰逊,1724
24,罗恩·阿泰斯特,1721
25,罗恩·哈珀,1716
26,拉斐特·利弗,1666
27,查尔斯·巴克利,1648
28,古斯·威廉姆斯,1638
29,特雷沃·阿里扎,1628
30,赫西·霍金斯,1622
31,雷·阿伦,1599
32,蒂姆·邓肯,1589
33,贾森·特里,1580
34,德怀恩·韦德,1570
35,雷吉·米勒,1560
36,保罗·加索尔,1550
37,史蒂夫·纳什,1540
38,文斯·卡特,1530
39,拉简·朗多,1500
40,贾马尔·克劳福德,1490
